id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
26,27,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
27,28,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
28,29,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
29,30,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
30,31,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
31,32,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
32,33,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
33,34,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
34,35,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
35,36,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
36,37,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
37,38,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
38,39,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
39,40,,1950,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
